company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ABB,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,80
ABB,pro,PRO_5,Healthy operating margin indicates robust business model,62
ABB,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ABB,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
ABB,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
ADANIENSOL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
ADANIENSOL,con,CON_1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,84
ADANIENSOL,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82
ADANIENT,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
ADANIENT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ADANIENT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
ADANIENT,con,CON_1,Debt-to-equity ratio of 1.67 is moderately high and increases financial risk,62
ADANIENT,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82
ADANIGREEN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,99
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIGREEN,con,CON_1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100
ADANIGREEN,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82
ADANIPORTS,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIPORTS,pro,PRO_7,Comfortable interest coverage ratio ensures manageable debt obligations,65
ADANIPORTS,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIPORTS,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
ADANIPORTS,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
ADANIPOWER,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ADANIPOWER,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ADANIPOWER,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
ADANIPOWER,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
ADANIPOWER,pro,PRO_7,Comfortable interest coverage ratio ensures manageable debt obligations,65
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
ADANIPOWER,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
AMBUJACEM,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,80
AMBUJACEM,pro,PRO_5,Healthy operating margin indicates robust business model,62
AMBUJACEM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
AMBUJACEM,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
AMBUJACEM,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85
APOLLOHOSP,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
APOLLOHOSP,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,91
APOLLOHOSP,pro,PRO_7,Comfortable interest coverage ratio ensures manageable debt obligations,65
APOLLOHOSP,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
APOLLOHOSP,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
APOLLOHOSP,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
ASIANPAINT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79
ASIANPAINT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ASIANPAINT,pro,PRO_3,Low leverage balance sheet provides financial stability,65
ASIANPAINT,pro,PRO_5,Healthy operating margin indicates robust business model,62
ASIANPAINT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,75
ASIANPAINT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ASIANPAINT,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
ASIANPAINT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
ASIANPAINT,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
ATGL,pro,PRO_GENERAL,Established market presence with sustained operational footprint,65
ATGL,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
AXISBANK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
AXISBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,94
AXISBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
AXISBANK,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
BAJAJ-AUTO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,73
BAJAJ-AUTO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
BAJAJ-AUTO,pro,PRO_3,Low leverage balance sheet provides financial stability,65
BAJAJ-AUTO,pro,PRO_5,Healthy operating margin indicates robust business model,62
BAJAJ-AUTO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJ-AUTO,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BAJAJ-AUTO,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
BAJAJFINSV,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,76
BAJAJFINSV,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78
BAJAJFINSV,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,87
BAJAJFINSV,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,78
BAJAJFINSV,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75
